,F-statistic,p-value
Mkt-RF,1.7118079911744513,0.18185241193573645
SMB,9.755771859656827,7.290085343127697e-05
HML,6.105845890035562,0.0024419886484037217
RMW,1.2133101703270452,0.29829783456481573
CMA,3.696497626365543,0.025657524196117297
Mom,7.823178973810287,0.0004643957814588295
