,F-stat,p-value
Mkt-RF,1.2081056305017854,0.3066763207334042
SMB,0.3267241906093824,0.860021859954274
HML,4.915000678321821,0.0006989138730706555
RMW,0.33757850080583224,0.8526044328058777
CMA,0.7708534719884075,0.5446184463096662
Mom,2.8578354193205815,0.0233388426562646
