,0,1,2,3,Full Sample
Mkt-RF,-0.1213410184795254,0.2005441214489113,0.1974873930946368,-0.724241217483466,0.1299600254379162
SMB,-0.02176675171927534,-0.054376422987824545,0.10279191066753722,-0.30450657448745444,0.0587135604164214
HML,-0.6180347604099673,0.01229934913033558,0.1457269432226245,-0.221400916712145,0.09565232292452572
RMW,0.4203595996720175,0.113667632699075,0.16183908963647778,0.12774859467919045,0.12599043425294873
CMA,-0.1900298495095751,0.011058158279331928,0.17182112608140773,-0.37212007909620876,0.12039647569878095
Mom,-0.23846716467163148,0.1641089063756788,0.08652356196654523,1.0699024776420747,0.1446222826551746
