Regime,Mkt-RF_mean,Mkt-RF_std,SMB_mean,SMB_std,HML_mean,HML_std,RMW_mean,RMW_std,CMA_mean,CMA_std,Mom_mean,Mom_std,Mkt-RF_Sharpe,SMB_Sharpe,HML_Sharpe,RMW_Sharpe,CMA_Sharpe,Mom_Sharpe,Mkt-RF_HitRatio,SMB_HitRatio,HML_HitRatio,RMW_HitRatio,CMA_HitRatio,Mom_HitRatio,Mkt-RF_Sortino,SMB_Sortino,HML_Sortino,RMW_Sortino,CMA_Sortino,Mom_Sortino
0,0.6798305084745763,4.719731446628297,-0.08593220338983051,3.5623878569335456,-0.05889830508474577,3.6006292859064253,0.31754237288135595,3.3877688334845644,0.0988135593220339,2.4405940742016585,1.0673728813559322,5.6077797651083925,0.14404008282298278,-0.02412207958282223,-0.01635778093437316,0.0937320072558613,0.04048750276276761,0.19033787453585937,0.6694915254237288,0.4322033898305085,0.4067796610169492,0.6186440677966102,0.4576271186440678,0.6440677966101694,0.19893569870993302,-0.050676306245377715,-0.029150910495142995,0.09592247267129352,0.08226857337981591,0.21920153906446876
1,0.29395348837209306,4.549346693929773,-0.006434108527131761,3.15189446961308,0.44325581395348834,3.452674045846272,0.397906976744186,2.7524204332330973,0.2734883720930233,2.5575554891227408,-0.05643410852713181,4.302041266663712,0.06461443986327034,-0.002041346431221601,0.1283804402233526,0.14456620505348794,0.10693350476897441,-0.013117984005508433,0.5581395348837209,0.49612403100775193,0.5271317829457365,0.5736434108527132,0.5193798449612403,0.5271317829457365,0.10161875470642985,-0.0027779035953722554,0.24113165341078271,0.28401956639274034,0.17199723269163875,-0.017302199178996017
2,1.2266459627329194,3.2584515003486287,0.26242236024844723,2.526939793603499,0.3693788819875776,2.2724454584876717,0.40534161490683235,1.7494777903191212,0.2213664596273292,1.5943691922255687,0.6959627329192546,2.716542926883815,0.3764505816955317,0.10384986651155007,0.1625468636036712,0.2316929183953197,0.13884265997282932,0.2561942703101708,0.6770186335403726,0.5341614906832298,0.5217391304347826,0.5900621118012422,0.5093167701863354,0.6459627329192547,0.7345947088602346,0.18605162830965816,0.3037623965254003,0.40446734525082123,0.287757392452492,0.3428712515582729
3,-0.4025000000000001,5.427616880362873,-0.7275,2.4575377243628767,-2.5774999999999997,3.351600364005231,-1.0525,0.7576443756803055,-1.1675,1.6793327047769102,0.24499999999999994,3.977381885947924,-0.07415777658446118,-0.2960280091686513,-0.7690356009270253,-1.3891741743016797,-0.6952166159088147,0.06159830939683817,0.5,0.75,0.25,0.25,0.25,0.25,-0.07062294774878049,0.0,-1.2177361655375396,-4.674316602477548,-1.6112519310213367,0.20033570381500715
4,-0.6415384615384615,9.718812381282195,-0.07461538461538465,3.9223879108365765,-3.1923076923076925,5.371779894110445,0.5561538461538461,2.0105742896891363,-0.44846153846153847,1.5846652966996226,-3.0023076923076926,11.71919376766604,-0.06600996463045455,-0.019022948854507993,-0.5942737333314234,0.27661442255875834,-0.2830007948022512,-0.25618722173459063,0.6153846153846154,0.5384615384615384,0.3076923076923077,0.6153846153846154,0.38461538461538464,0.46153846153846156,-0.16122349739940545,-0.02980358498950744,-0.7358497825594974,0.7566718995290422,-0.4996052234562977,-0.26228258634821144
