,0.0,1.0,2.0,3.0
Mkt-RF,0.025775142857008843,0.044496263878116483,0.022012080465453675,0.06196985968818961
SMB,-0.01057675693206029,-0.018530161558219366,0.03013109235576043,0.060693471450043925
HML,-0.0064242803204537634,0.004664656762976494,0.04629264663415793,-0.033041454489370466
RMW,0.023492623211381264,0.03630482691780235,0.044256520357964686,0.03531473679847015
CMA,0.0052483918778085245,0.0032488364754517823,0.06317836404146712,-0.05353069719257844
Mom,0.01615434083738341,0.0596525910162776,0.03462741851105821,-0.09725299415051862
