,F-statistic,p-value
Mkt-RF,2.666703907822485,0.031522888383544716
SMB,1.8481090321118598,0.11799498327165585
HML,1.1129156591460394,0.3493550057997675
RMW,2.0777816481074285,0.08217818413206647
CMA,0.30139405452019125,0.877054644402606
Mom,4.376726323076202,0.0016934635414373304
