,F-statistic,p-value
Mkt-RF,1.271142440139852,0.3479977132683734
SMB,6.372361415307951,0.016286273319241196
HML,2.263428517087982,0.15820284104163682
RMW,0.25243482036946246,0.8575227521799742
CMA,6.230747230308856,0.01730511135918144
Mom,7.655279341604565,0.009761213832948845
