,F-statistic,p-value
Mkt-RF,0.5288135826069948,0.6626356209158648
SMB,2.0231982714552705,0.10942369251114564
HML,3.252944990801703,0.021376089070885028
RMW,1.0443439865159159,0.37234444764881325
CMA,3.18668380736495,0.02337546115293203
Mom,3.671747426503803,0.01211697514757211
