,F-statistic,p-value
Mkt-RF,1.4186911115619063,0.2383801084112321
SMB,2.038898709299254,0.1095746249449718
HML,2.1001337073104036,0.10134076783179155
RMW,0.8459635216434946,0.4701646104402154
CMA,2.844993102055396,0.03872353036680163
Mom,2.6636109406459245,0.04902460685637044
