,F-stat,p-value
Mkt-RF,2.926528528713187,0.05467374086301982
SMB,1.3748536973580716,0.2540095760095614
HML,2.2263620562103204,0.1091894520237793
RMW,0.7509586678365479,0.4725449885162396
CMA,1.262383287783821,0.28404771248640076
Mom,7.184836448478722,0.0008545463839819817
