,0,1,2,Full Sample
Mkt-RF,-0.006819343169877694,0.28934972904391143,-0.06600996463045455,0.1299600254379162
SMB,0.05332577436241375,0.0062718137589246525,-0.019022948854507993,0.0587135604164214
HML,0.05055354506486008,0.09187438666130796,-0.5942737333314234,0.09565232292452572
RMW,0.18723077881385258,0.12241838579581389,0.27661442255875834,0.12599043425294873
CMA,0.13299082462692785,0.06456275383112411,-0.2830007948022512,0.12039647569878095
Mom,0.22220936652262832,0.08582788808895188,-0.25618722173459063,0.1446222826551746
