,F-statistic,p-value
Mkt-RF,0.4804005649531606,0.6960232137267536
SMB,2.7998378678316747,0.03929345220595474
HML,4.098123273894648,0.006773178930804148
RMW,0.2958015442726135,0.8284472658921552
CMA,4.24115199006108,0.0055687987915252505
Mom,4.0971613769033555,0.006782096120383559
