,F-stat,p-value
Mkt-RF,2.22441353361705,0.08472090774287633
SMB,0.8560726768671346,0.463932824179916
HML,5.921139141681726,0.0005793505374318539
RMW,0.1407006075884464,0.9355791958754561
CMA,1.469677539786307,0.22219300263353758
Mom,2.5604348226694693,0.054527438914145285
