Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
1991-05-31,3.66,0.14,-0.52,2.07,-2.36,0.47,-0.09,2.125560375129843,0.9548865338218285,1.9421171731620341,0.10909704747868772,-0.01496453477761943,1
1991-06-30,-4.94,0.3,1.08,1.75,0.68,0.42,0.42,2.2416791245680017,1.0531814479777541,2.004306868239987,-0.055484033356147204,0.026015992976065785,1
1991-07-31,4.24,-1.0,-1.3,1.6,-1.44,0.49,4.26,2.136316626783462,1.3431291557189478,1.8105328629652848,-0.6046507025462444,-0.051055795724563646,1
1991-08-31,2.32,1.42,-0.79,0.85,-0.32,0.46,1.58,1.9216087029412288,0.9633800746724972,1.9496357733228606,-0.18842511326895148,-0.27463238819322056,1
1991-09-30,-1.59,1.58,-1.23,-1.77,-0.04,0.46,1.75,1.6897059623797264,1.0035384029769663,1.8168650801683417,-0.08338061501692771,-0.20145870346160796,1
1991-10-31,1.29,0.85,-0.43,-1.65,-0.3,0.42,3.18,1.3553534258718878,1.1881574823223156,1.7559166319174733,-0.5921891731563561,-0.1905541634250259,1
1991-11-30,-4.2,-0.88,-1.77,1.1,-0.12,0.39,1.18,1.1873561902661147,0.8241776836004967,2.043389094225538,0.5029965075231306,-0.4220165262421644,2
1991-12-31,10.86,-2.41,-4.23,3.67,-3.14,0.38,8.29,0.6261068583710119,1.0208442696831028,1.9769317604976466,-0.013745187979049311,-0.22216031154980187,2
1992-01-31,-0.59,9.19,4.67,-1.17,3.25,0.34,-2.5,0.54830322530692,0.7860897610462029,1.9720775496286593,-0.7224416824930824,0.5928669696176786,2
1992-02-29,1.09,1.3,6.51,0.07,2.25,0.28,-0.7,0.8318444702787653,0.5870427567010895,2.2838620897696735,-0.300363455137333,0.39371974917811436,2
1992-03-31,-2.66,-0.89,3.49,-0.06,1.82,0.34,-0.21,1.2152285900095297,0.44210168010911677,2.3101716477695273,0.03972991822066762,0.24757298156372207,2
