Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,Regime,LaggedRegime
1991-05-31,3.66,0.14,-0.52,2.07,-2.36,0.47,-0.09,2.126353886970952,0.943122580689576,1.9472122184070726,0.10929592159051055,1,1
1991-06-30,-4.94,0.3,1.08,1.75,0.68,0.42,0.42,2.242494059449267,1.041115537916278,2.0100114230762776,-0.05569699064921886,1,1
1991-07-31,4.24,-1.0,-1.3,1.6,-1.44,0.49,4.26,2.137480630792095,1.3319515760136327,1.8169998203005044,-0.6041595971567738,1,1
1991-08-31,2.32,1.42,-0.79,0.85,-0.32,0.46,1.58,1.9227312287452212,0.9518430552535281,1.9531076032604553,-0.18564287422186518,1,1
1991-09-30,-1.59,1.58,-1.23,-1.77,-0.04,0.46,1.75,1.690786525015286,0.9927097324834762,1.820944306917863,-0.0813566908313383,1,1
1991-10-31,1.29,0.85,-0.43,-1.65,-0.3,0.42,3.18,1.3565923670478712,1.1776054240421088,1.7608934777139411,-0.5903026233196936,1,1
1991-11-30,-4.2,-0.88,-1.77,1.1,-0.12,0.39,1.18,1.1885388871099292,0.8129992724490053,2.045141311693643,0.5072391076434573,1,1
1991-12-31,10.86,-2.41,-4.23,3.67,-3.14,0.38,8.29,0.6272335201605586,1.0100751793329483,1.9807260336855026,-0.011527996632117623,1,1
1992-01-31,-0.59,9.19,4.67,-1.17,3.25,0.34,-2.5,0.5483534812260578,0.7749291072736179,1.9796946157631874,-0.7282097462002955,1,1
1992-02-29,1.09,1.3,6.51,0.07,2.25,0.28,-0.7,0.8319236894109001,0.5747130595856773,2.289263052680358,-0.30409860912588127,1,1
1992-03-31,-2.66,-0.89,3.49,-0.06,1.82,0.34,-0.21,1.215342250266689,0.4296011751575477,2.314086078726006,0.03746491992279276,1,1
1992-04-30,1.09,-5.75,4.36,1.65,2.4,0.32,-2.55,0.9101285464864259,0.5085001050389685,2.358038497670425,-0.44854472294439246,1,1
1992-05-31,0.3,0.2,1.11,-0.91,0.49,0.28,0.06,0.8765007441362523,0.39652122526258654,2.47106218488663,-0.5065725809706298,1,1
1992-06-30,-2.33,-2.76,3.24,-0.06,0.95,0.32,-0.57,0.751486280433664,0.3216175829019993,2.559167974146857,-0.2964230392945245,1,1
1992-07-31,3.78,-0.65,-0.51,1.24,-0.97,0.31,1.47,0.24956909259603705,0.1353926231957733,2.547563753735232,-0.3965691626538594,1,1
1992-08-31,-2.38,-0.39,-1.09,3.66,-1.64,0.26,-0.47,0.14761991927991022,0.22107099786040715,2.3085832780816453,-0.5102007259414021,1,1
1992-09-30,1.19,0.47,-0.19,1.61,-0.68,0.26,1.44,-0.07122968982324769,0.15801479094716023,2.3312941066494006,-0.5236203478639881,1,1
1992-10-31,1.02,2.09,-1.98,1.19,-0.91,0.23,2.5,0.02850344808641045,0.1864069668714217,2.303963018332809,0.40496150870376735,1,1
1992-11-30,4.14,3.88,-1.52,-0.54,-1.58,0.23,-0.25,0.3351307775053394,0.17737046717648688,2.320810412659934,-0.27711402013670544,1,1
1992-12-31,1.53,1.65,2.64,-0.52,0.83,0.28,4.33,0.3802563067601631,0.14608822426892457,2.14985327013675,-0.8835699827219106,1,1
1993-01-31,0.93,1.94,5.9,-1.9,2.94,0.23,4.85,0.3028073395182273,0.17714344093966164,2.1596234956843903,-0.13501368847258063,1,1
1993-02-28,0.12,-3.37,6.48,-0.47,4.15,0.22,3.18,0.0993184807334521,0.3507396301145531,1.813962472363287,-0.4672249129969836,1,1
1993-03-31,2.32,0.09,1.26,-0.22,0.82,0.25,3.7,0.02216465351741561,0.4023591780254318,1.5508131729496617,-0.760487916760063,1,1
1993-04-30,-3.05,-0.81,2.55,-3.69,1.38,0.24,0.36,0.08755007950226949,-0.09515633624439553,1.8912396822635016,-0.12625542400670425,1,1
1993-05-31,2.89,1.94,-3.46,-0.14,-1.03,0.22,0.21,0.10949415519932036,0.07930941746264654,1.7916832333404193,-0.30031421630582916,1,1
1993-06-30,0.3,0.12,2.64,-0.91,1.16,0.25,4.57,0.2049810722982164,0.22867421037135274,1.4794612428052838,-1.0273843852934526,1,1
1993-07-31,-0.34,0.96,2.87,-1.84,2.05,0.24,3.22,0.25063761866727763,0.06561313864210386,1.4364680781114498,-0.8606328780822606,1,1
1993-08-31,3.72,0.08,0.18,-1.52,0.04,0.25,2.54,0.379317062398355,-0.11108288950196013,1.3993092576577553,-0.6962856538715437,1,1
1993-09-30,-0.12,3.02,-0.24,0.25,-0.19,0.26,3.39,0.29093603823839576,-0.022340935806118532,1.0981356814869037,-0.7967322110471615,1,1
1993-10-31,1.41,1.86,-2.78,0.61,0.56,0.22,-2.67,0.5403619424662085,-0.8439760691855918,1.4981111485038539,0.09237034666336157,1,1
1993-11-30,-1.87,-1.31,-0.78,2.19,-1.03,0.25,-4.77,0.5588095655147155,-0.41371625501311315,1.417383884310338,-0.29795339425964745,1,1
1993-12-31,1.65,1.35,0.25,1.14,-0.35,0.23,2.33,0.6219328935088512,-0.5233891438753964,1.4271300503037856,-0.7156662615469161,1,1
1994-01-31,2.87,-0.05,1.1,-1.54,1.39,0.25,0.11,0.4547934034018233,-0.11078870999212277,1.2703503618385172,-1.359046244519045,1,1
1994-02-28,-2.55,2.62,-1.52,2.08,-0.94,0.21,-0.34,0.8081332481584047,-0.26470363501422756,1.4422140096676341,-0.28418034802722386,1,1
1994-03-31,-4.79,-1.03,1.67,0.65,1.39,0.27,-1.32,1.0712582656811476,-0.006784268641680856,1.4891328666971422,-0.3561642588062377,1,1
1994-04-30,0.68,-1.0,1.66,1.05,1.14,0.27,0.33,1.3251479774696482,0.28153605999814757,1.4558691825183643,-0.9023322684080421,1,1
1994-05-31,0.58,-2.49,0.6,0.64,0.6,0.32,-2.05,1.857267553030681,-0.0024840484620152078,1.5034916998040935,-0.6740302097183322,1,1
1994-06-30,-3.04,-0.52,1.77,1.05,1.5,0.31,-0.9,1.8878345837726067,-0.0785329025904868,1.5143827640843388,-0.4232491748816714,1,1
1994-07-31,2.82,-1.87,0.61,-0.66,0.1,0.28,0.11,1.988730016938524,0.10329955366858913,1.5477530159466872,-0.23996592822437127,1,1
1994-08-31,4.02,1.44,-2.55,0.98,-1.52,0.37,1.54,2.118977227312993,0.02541273941054344,1.4841884660072986,-0.16111381036508352,1,1
1994-09-30,-2.28,2.71,-1.81,0.56,1.06,0.37,1.32,2.1284728806893956,0.44552830798420595,1.3313158148092779,-0.6616467762297881,1,1
1994-10-31,1.35,-2.22,-1.66,0.18,-0.73,0.38,1.31,2.2622442425511777,0.5826351266908136,1.284528883401174,-0.9745631448926159,1,1
