Date,PC1,PC2,PC3,PC4
1990-01-31,3.802730083425676,0.8461614910639432,1.1430508654038916,2.367814744478922
1990-02-28,3.7204133671662154,1.4780082186398609,0.8172795933686692,0.8329853751602434
1990-03-31,3.9984397499027526,1.2230819788080904,0.8843408160589011,0.7533927601740149
1990-04-30,3.8140300959329334,1.9246111566624429,0.7387007957949986,0.03150414800774885
1990-05-31,3.711150488650289,1.8307339818342736,0.781391529245414,-0.40183850317590253
1990-06-30,3.893817946365142,1.062758457586515,1.0602333984398784,1.1384731818236642
1990-07-31,3.5334845743471863,1.5460773055400594,0.9994705632129218,0.5499647422921798
1990-08-31,3.381332856219092,1.8347211355321786,1.3190073030099199,2.2493359273334983
1990-09-30,3.223605100354334,2.112435117995138,1.3771275362625985,2.0369547028713946
1990-10-31,2.829835070890715,2.675167145201855,1.0778143002408644,1.9129817080824911
1990-11-30,2.3897039009558534,2.8548627095833607,0.8487183074733714,0.33742897114163717
1990-12-31,2.2167838654997536,2.4728887593632334,0.916308906550764,0.7491205666062868
1991-01-31,1.9373101711332301,2.571629798664229,0.97893140559988,0.9319130149416804
1991-02-28,1.7411878716052378,2.3064029679968714,0.9869666380202474,-0.343227117746773
1991-03-31,1.9526660118171597,2.1103209517451638,1.2392364603054125,-0.9115716146008479
1991-04-30,2.1470813088641205,1.1989976497374533,1.628424236426445,-0.23230361142712758
1991-05-31,2.125560375129843,0.9548865338218285,1.9421171731620341,0.10909704747868772
1991-06-30,2.2416791245680017,1.0531814479777541,2.004306868239987,-0.055484033356147204
1991-07-31,2.136316626783462,1.3431291557189478,1.8105328629652848,-0.6046507025462444
1991-08-31,1.9216087029412288,0.9633800746724972,1.9496357733228606,-0.18842511326895148
1991-09-30,1.6897059623797264,1.0035384029769663,1.8168650801683417,-0.08338061501692771
1991-10-31,1.3553534258718878,1.1881574823223156,1.7559166319174733,-0.5921891731563561
1991-11-30,1.1873561902661147,0.8241776836004967,2.043389094225538,0.5029965075231306
1991-12-31,0.6261068583710119,1.0208442696831028,1.9769317604976466,-0.013745187979049311
1992-01-31,0.54830322530692,0.7860897610462029,1.9720775496286593,-0.7224416824930824
1992-02-29,0.8318444702787653,0.5870427567010895,2.2838620897696735,-0.300363455137333
1992-03-31,1.2152285900095297,0.44210168010911677,2.3101716477695273,0.03972991822066762
1992-04-30,0.909895817933643,0.5210423067718762,2.354036314228762,-0.4465303284982733
1992-05-31,0.8762598668479007,0.409588856174302,2.4680324206209128,-0.5054951682333578
1992-06-30,0.7512590559126098,0.33494094116886935,2.5567932338228476,-0.2958991226090369
1992-07-31,0.24929729634575623,0.1484014039240473,2.5468012635892814,-0.3973204443670497
1992-08-31,0.14737586498931202,0.23305538747389612,2.3067959525542148,-0.5098973694424166
1992-09-30,-0.0714506168292608,0.17004809681429275,2.3298341674219896,-0.5234552560349772
1992-10-31,0.02836147462132239,0.19803616530809487,2.30216502406213,0.4057943389480018
1992-11-30,0.3349188999819844,0.18956540182287734,2.3191624761389114,-0.27682816260376975
1992-12-31,0.3800341377076379,0.1578490676649355,2.1481411452551606,-0.883232066418958
1993-01-31,0.3015606641691362,0.18827878492610856,2.163217206194118,-0.14343035568478074
1993-02-28,0.09812132071597687,0.36034635718023483,1.8156237425373951,-0.4736110086109215
1993-03-31,0.020990030459516994,0.41092681580718415,1.5516595976223357,-0.7660065243547607
1993-04-30,0.0868643544766913,-0.08521546167423347,1.8939832988827998,-0.13130704473636873
1993-05-31,0.10879723441259373,0.08893313633356058,1.7929558366765574,-0.30422309892798666
1993-06-30,0.20426936625637426,0.2373193449697198,1.4791395213596183,-1.0299754786787647
1993-07-31,0.2498147837523616,0.0740223166483333,1.4380154548679738,-0.8652145457522556
1993-08-31,0.37852230464315556,-0.1030753480905368,1.4023462311573056,-0.7018040802094857
1993-09-30,0.29017173840859906,-0.015608472344392294,1.100068733963103,-0.8011228135178774
1993-10-31,0.5407083387578601,-0.8353602843412389,1.501401436652691,0.09148597631230286
1993-11-30,0.5591382633208231,-0.4053698479491509,1.4172027439183286,-0.2959469369691507
1993-12-31,0.6222437136601298,-0.514776042307387,1.4277177174290483,-0.7143263967308554
1994-01-31,0.45458989067039374,-0.10288025105103629,1.2700186362998267,-1.3591223842733222
1994-02-28,0.8079088675370724,-0.2563100590962002,1.4437531603234541,-0.2860544434521512
1994-03-31,1.0709870269108803,0.0019137216069499024,1.4889178982301157,-0.35682740495139015
1994-04-30,1.3253014718134806,0.29056093828819274,1.4509814820435845,-0.8973527918506465
1994-05-31,1.8573614750710488,0.007019511450977677,1.5011982029051112,-0.6715422003774733
1994-06-30,1.8879181820722437,-0.06891292380326847,1.5127319434587942,-0.42145942933549163
1994-07-31,1.9878504410531848,0.11282297386629377,1.549649728723665,-0.2453331259374776
1994-08-31,2.1180881755576637,0.034750708155118035,1.4867022556461897,-0.1670574065247479
1994-09-30,2.127558290611026,0.45443270303092703,1.3303298585954135,-0.6648105039989907
1994-10-31,2.2620023559288946,0.5916777400226656,1.278899142358861,-0.9709653009461668
1994-11-30,2.7410590881720425,0.5040517813597476,1.2978546730604867,-0.2731477880384266
1994-12-31,3.1286710563623816,0.4131444960169488,0.9351955661292449,-0.5986471553899094
1995-01-31,3.0754048086973276,0.550748403708022,0.9618945272533855,-0.5579741515687403
1995-02-28,3.008727040877376,0.40365971655556965,0.9032294609396384,-0.4623306434069819
1995-03-31,2.738026672337882,0.5527648530139105,0.7463026905567347,-0.7121193767811442
1995-04-30,2.6717635973323173,0.3312124790347963,1.025148633602908,0.0228132517071648
