,F-stat,p-value
Mkt-RF,0.5149667470923736,0.6721755409389674
SMB,1.3673031378162932,0.25223266372550746
HML,5.547647693904132,0.0009649672151843393
RMW,0.06307872317955374,0.9792792230112293
CMA,1.076143520533407,0.3589435108624223
Mom,2.8919103590796946,0.035146330692397504
