,0,1,2,3,4
0,0.0,0.964,0.0,0.0,0.036
1,0.988,0.0,0.012,0.0,0.0
2,0.0,0.0,0.984,0.0,0.016
3,0.0,0.0,0.016,0.984,0.0
4,0.056,0.0,0.014,0.0,0.93
