,F-statistic,p-value
Mkt-RF,9.910238105699493,1.6094482415911976e-06
SMB,52.68450006465977,9.611267215068065e-34
HML,64.17032771201367,4.869795357438446e-41
RMW,11.56522346346292,1.4586944633888592e-07
CMA,74.14544235164284,2.3375984240557197e-47
Mom,78.76169159343222,2.8204880373862107e-50
