Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1972-03-31,0.62,-0.47,-1.61,1.58,-0.2,0.27,2.94
1972-04-30,0.29,0.27,0.03,-0.41,-1.06,0.29,2.79
1972-05-31,1.29,-3.12,-2.72,2.4,-1.97,0.3,3.33
1972-06-30,-2.46,-0.43,-2.46,1.78,-0.35,0.29,1.9
1972-07-31,-0.8,-2.79,0.6,1.2,-0.71,0.31,2.68
1972-08-31,3.27,-3.46,4.56,-2.04,2.9,0.29,-5.36
1972-09-30,-1.14,-2.24,0.49,1.65,-1.97,0.34,1.83
1972-10-31,0.52,-2.55,1.22,-0.11,0.03,0.4,0.7
1972-11-30,4.59,-0.59,4.88,-1.98,3.34,0.37,-5.08
1972-12-31,0.62,-1.89,-2.18,2.58,-2.14,0.37,4.95
1973-01-31,-3.28,-2.82,2.7,0.4,0.9,0.44,3.8
1973-02-28,-4.85,-3.94,1.64,-0.29,0.05,0.42,2.22
1973-03-31,-1.3,-2.29,2.57,-0.96,0.5,0.46,3.55
1973-04-30,-5.68,-2.92,5.39,-1.55,2.52,0.52,6.35
1973-05-31,-2.97,-6.12,0.38,1.97,-1.7,0.51,7.19
1973-06-30,-1.57,-2.48,1.14,-0.2,0.09,0.51,4.33
1973-07-31,5.04,7.19,-5.26,-0.09,-3.23,0.64,-11.6
1973-08-31,-3.82,-1.78,1.03,-1.32,1.24,0.7,3.59
1973-09-30,4.74,3.58,2.22,-2.22,1.73,0.68,-6.98
1973-10-31,-0.83,-0.27,1.66,-1.99,2.73,0.65,6.78
1973-11-30,-12.79,-7.27,4.09,-2.77,1.66,0.56,8.93
1973-12-31,0.59,-4.72,4.01,-2.89,2.44,0.64,10.1
1974-01-31,-0.16,10.39,5.95,-2.92,4.49,0.63,-8.92
1974-02-28,-0.46,0.12,2.47,-1.85,2.67,0.58,0.37
1974-03-31,-2.82,2.62,-0.14,2.9,0.44,0.56,-1.0
1974-04-30,-5.28,-0.66,0.92,2.71,2.14,0.75,2.06
1974-05-31,-4.7,-3.06,-2.08,5.01,-0.33,0.75,-0.29
1974-06-30,-2.84,-0.05,0.83,0.5,2.98,0.6,2.32
1974-07-31,-8.06,1.84,5.16,-3.2,4.5,0.7,3.0
1974-08-31,-9.39,0.28,2.61,-0.29,2.59,0.6,3.03
1974-09-30,-11.78,1.47,5.43,-4.33,5.82,0.81,4.24
1974-10-31,16.1,-6.78,-9.91,-0.29,-2.91,0.51,-0.53
1974-11-30,-4.53,-1.41,-0.25,-3.42,2.9,0.54,2.2
1974-12-31,-3.45,-4.27,0.12,-0.76,3.38,0.7,2.98
1975-01-31,13.67,12.88,8.26,-0.54,-1.05,0.58,-13.8
1975-02-28,5.56,-0.69,-4.47,1.17,-2.11,0.43,-0.58
1975-03-31,2.66,3.97,2.42,1.25,-1.34,0.41,-2.07
1975-04-30,4.22,-0.69,-1.13,1.39,-1.37,0.44,1.51
1975-05-31,5.2,2.98,-4.05,-1.13,-0.56,0.44,-0.58
1975-06-30,4.87,1.33,1.35,-2.7,1.07,0.41,-0.04
1975-07-31,-6.6,3.4,1.76,0.45,1.24,0.48,0.34
1975-08-31,-2.84,-2.77,-0.91,1.09,-0.99,0.48,-0.16
1975-09-30,-4.26,-0.02,0.33,0.58,0.57,0.53,0.4
1975-10-31,5.32,-4.25,0.35,-0.52,2.28,0.56,-0.22
1975-11-30,2.65,-1.1,2.03,-0.66,1.74,0.41,-0.5
1975-12-31,-1.6,-0.16,1.7,-0.11,0.77,0.48,-0.1
1976-01-31,12.16,6.39,8.63,-1.75,2.33,0.47,4.37
1976-02-29,0.32,7.91,5.71,-2.55,3.7,0.34,0.38
1976-03-31,2.32,-1.38,-0.11,-0.38,0.99,0.4,0.22
1976-04-30,-1.48,0.1,-0.16,0.45,-1.05,0.42,0.53
1976-05-31,-1.35,-1.09,-1.29,2.43,-1.39,0.37,-1.07
1976-06-30,4.05,-1.07,0.73,-0.67,1.02,0.43,-0.44
1976-07-31,-1.06,0.61,1.74,-1.03,0.3,0.47,-0.15
1976-08-31,-0.57,-2.02,0.79,-0.4,-0.57,0.42,-0.78
1976-09-30,2.04,0.2,-0.31,0.98,-1.14,0.44,0.2
1976-10-31,-2.42,0.05,-0.17,-0.19,-0.37,0.41,-0.43
1976-11-30,0.37,2.7,1.53,-1.31,0.07,0.4,2.82
1976-12-31,5.65,3.6,2.23,-0.72,2.41,0.4,0.73
1977-01-31,-4.04,5.91,4.32,-0.54,1.93,0.36,4.05
1977-02-28,-1.94,1.05,0.45,-0.21,-0.19,0.35,0.34
1977-03-31,-1.35,1.29,1.09,-0.32,-0.11,0.38,0.68
1977-04-30,0.15,0.6,3.38,-1.98,1.04,0.38,4.19
1977-05-31,-1.47,1.37,0.81,0.43,0.22,0.37,2.01
1977-06-30,4.72,2.1,-0.62,0.91,-1.27,0.4,1.6
1977-07-31,-1.69,1.81,-0.6,0.75,0.12,0.42,0.38
1977-08-31,-1.76,0.93,-2.77,1.04,-0.67,0.44,-1.63
1977-09-30,-0.27,1.62,-0.26,0.92,-0.65,0.43,2.1
1977-10-31,-4.39,1.41,1.62,-0.09,-0.46,0.49,-0.12
1977-11-30,4.02,3.6,0.23,-0.06,0.68,0.5,2.14
1977-12-31,0.27,1.61,-0.29,0.93,-0.66,0.49,1.59
1978-01-31,-5.99,2.76,3.38,-1.8,1.56,0.49,-0.58
1978-02-28,-1.39,3.7,0.81,0.3,1.05,0.46,1.96
1978-03-31,2.85,3.65,1.15,-0.57,2.0,0.53,1.45
1978-04-30,7.87,-0.32,-3.54,2.87,-1.27,0.54,0.49
1978-05-31,1.76,4.54,-0.55,0.2,0.29,0.51,2.77
1978-06-30,-1.69,1.64,0.6,-1.41,-0.12,0.54,2.78
1978-07-31,5.12,0.17,-1.0,1.47,-0.73,0.56,4.19
1978-08-31,3.79,4.93,-0.66,1.57,0.5,0.56,3.0
1978-09-30,-1.45,-0.38,1.88,-0.69,1.57,0.62,-3.2
1978-10-31,-11.91,-10.04,1.26,0.17,1.14,0.68,-8.42
1978-11-30,2.72,2.9,-2.08,1.09,-1.19,0.7,5.45
1978-12-31,0.88,1.01,-2.14,2.01,-1.47,0.78,3.01
1979-01-31,4.22,3.74,2.19,-2.4,1.58,0.77,-1.43
1979-02-28,-3.56,0.53,1.17,-1.11,0.96,0.73,-0.99
1979-03-31,5.67,3.17,-0.68,0.54,0.29,0.81,2.91
1979-04-30,-0.07,2.4,1.12,1.14,0.24,0.8,0.87
1979-05-31,-2.21,0.18,1.32,-1.56,-0.31,0.82,-0.55
1979-06-30,3.84,0.94,1.42,-1.58,-0.56,0.81,0.77
1979-07-31,0.83,1.27,1.79,-0.44,0.52,0.77,-1.07
1979-08-31,5.54,1.85,-1.58,1.5,-1.46,0.77,-0.29
1979-09-30,-0.83,-0.28,-0.94,0.84,0.5,0.83,5.28
1979-10-31,-8.1,-3.49,-1.83,0.96,0.14,0.87,2.04
1979-11-30,5.23,2.51,-3.21,-0.03,-1.83,0.99,8.03
1979-12-31,1.78,4.27,-2.13,-0.67,-1.01,0.95,4.72
1980-01-31,5.5,1.88,1.85,-1.84,1.89,0.8,7.45
1980-02-29,-1.23,-1.62,0.59,-0.95,2.92,0.89,7.89
1980-03-31,-12.89,-6.97,-0.96,1.82,-1.05,1.21,-9.58
1980-04-30,3.96,1.05,1.03,-2.18,0.34,1.26,-0.48
1980-05-31,5.26,2.0,0.38,0.43,-0.63,0.81,-1.18
1980-06-30,2.97,1.46,-0.8,-0.2,-0.81,0.61,1.58
1980-07-31,6.51,3.74,-6.29,4.06,-2.44,0.53,0.29
1980-08-31,1.75,4.23,-2.46,2.05,-0.73,0.64,3.06
1980-09-30,2.19,0.63,-4.61,1.9,-2.86,0.75,5.43
1980-10-31,1.04,2.21,-2.93,1.77,-1.43,0.95,7.13
1980-11-30,9.6,-3.27,-8.11,4.26,-5.52,0.96,15.1
1980-12-31,-4.46,-0.28,2.8,-1.27,1.27,1.31,-6.71
1981-01-31,-5.06,3.3,6.74,-3.38,4.27,1.04,-7.82
1981-02-28,0.61,-0.65,0.97,0.26,2.06,1.07,-1.35
1981-03-31,3.66,2.85,0.61,-2.27,-0.56,1.21,0.82
1981-04-30,-2.16,4.72,2.28,0.81,1.54,1.08,-1.08
1981-05-31,0.13,2.36,-0.43,0.47,-1.78,1.15,3.56
1981-06-30,-2.34,-0.93,5.14,-1.29,2.69,1.35,-5.67
1981-07-31,-1.55,-1.95,-0.61,1.08,-2.66,1.24,-2.44
1981-08-31,-7.02,-1.82,4.71,-0.31,1.38,1.28,-1.1
1981-09-30,-7.2,-2.46,5.11,0.08,2.53,1.24,2.13
1981-10-31,4.92,2.28,-4.09,3.12,-2.79,1.21,3.83
1981-11-30,3.4,-1.58,1.91,0.14,1.0,1.07,-0.21
1981-12-31,-3.63,1.18,0.79,0.21,2.45,0.87,1.28
1982-01-31,-3.23,-1.1,3.19,-1.43,1.95,0.8,1.77
1982-02-28,-5.86,0.4,6.09,-3.55,4.57,0.92,4.87
1982-03-31,-1.82,0.02,3.76,-1.28,2.37,0.98,2.9
1982-04-30,3.24,1.21,-3.08,1.5,-0.05,1.13,-0.46
1982-05-31,-3.93,0.41,1.78,0.96,-0.12,1.06,2.51
1982-06-30,-3.08,-0.51,1.56,0.09,2.53,0.96,4.89
1982-07-31,-3.2,1.01,0.07,1.0,1.44,1.05,4.4
1982-08-31,11.15,-4.46,1.09,-1.85,0.17,0.76,-3.6
1982-09-30,1.32,2.55,0.23,2.16,-0.02,0.51,4.14
1982-10-31,11.24,1.96,-3.62,0.2,-0.3,0.59,0.01
1982-11-30,4.68,4.39,-1.8,-1.02,0.29,0.63,5.92
1982-12-31,0.56,-0.14,-0.06,0.0,1.0,0.67,-0.02
1983-01-31,3.59,3.41,-0.72,-1.52,-0.56,0.69,-1.63
1983-02-28,2.59,2.88,0.66,-0.36,1.01,0.62,3.69
1983-03-31,2.81,1.37,2.06,-0.19,2.8,0.63,0.88
1983-04-30,6.65,0.43,0.43,-0.07,1.51,0.71,1.63
1983-05-31,0.51,6.26,-1.4,-1.81,-1.43,0.69,-1.55
1983-06-30,3.07,1.16,-3.89,2.55,-0.78,0.67,1.83
1983-07-31,-4.06,1.05,5.54,-0.07,2.88,0.74,-3.08
1983-08-31,-0.5,-4.32,5.59,0.52,1.85,0.76,-5.38
1983-09-30,0.91,0.3,0.99,1.21,0.5,0.76,-0.01
1983-10-31,-3.43,-3.75,4.96,-0.82,3.0,0.76,-4.46
1983-11-30,2.16,1.87,-0.73,-0.68,0.64,0.7,-0.14
1983-12-31,-1.77,-0.42,1.75,1.55,1.33,0.73,0.81
1984-01-31,-1.92,0.0,7.48,-0.88,2.88,0.76,-2.57
1984-02-29,-4.76,-1.58,3.41,1.04,1.51,0.71,0.45
1984-03-31,0.65,-0.25,0.53,-0.97,1.15,0.73,1.09
1984-04-30,-0.51,-0.94,1.19,3.3,0.77,0.81,2.14
1984-05-31,-5.98,0.14,0.26,2.41,-0.51,0.78,1.54
1984-06-30,1.81,0.16,-2.75,3.08,-1.57,0.75,-0.53
1984-07-31,-2.72,-2.21,0.39,3.52,-2.16,0.82,2.77
1984-08-31,10.27,-0.28,-1.74,-0.73,-0.91,0.83,-5.62
1984-09-30,-0.8,-0.04,5.25,1.37,2.39,0.86,3.66
1984-10-31,-0.84,-1.34,0.59,1.14,-1.04,1.0,3.28
1984-11-30,-1.77,-1.06,3.87,0.8,1.95,0.73,1.56
1984-12-31,1.84,-0.6,-0.03,1.08,-1.41,0.64,1.46
1985-01-31,7.97,3.45,-5.2,-0.99,-3.46,0.65,-6.82
1985-02-28,1.22,0.91,-0.36,1.52,1.16,0.58,1.9
1985-03-31,-0.84,-1.38,4.01,1.23,2.86,0.62,1.78
1985-04-30,-0.96,-0.14,3.6,1.62,0.71,0.72,2.95
1985-05-31,5.07,-2.36,-0.98,1.27,-1.43,0.66,4.05
1985-06-30,1.27,0.21,0.38,1.69,-1.02,0.55,3.37
1985-07-31,-0.72,2.85,-1.62,-0.36,-0.37,0.62,-3.69
1985-08-31,-1.01,-0.3,2.34,-0.16,1.93,0.55,1.77
1985-09-30,-4.5,-1.84,1.21,1.11,1.58,0.6,1.6
1985-10-31,4.0,-1.47,0.77,0.88,-1.06,0.65,4.87
1985-11-30,6.46,-0.05,-2.91,0.32,-2.35,0.61,-0.55
1985-12-31,3.88,-0.41,-1.46,0.96,-1.77,0.65,-0.23
1986-01-31,0.65,0.95,0.46,-1.99,-1.99,0.56,2.95
1986-02-28,7.14,-0.72,-0.63,1.16,-1.23,0.53,2.56
1986-03-31,4.91,-0.63,-0.39,1.0,0.81,0.6,2.38
1986-04-30,-1.28,2.81,-2.81,2.9,-0.1,0.52,-0.35
1986-05-31,4.63,-1.29,-0.14,2.07,1.1,0.49,2.06
1986-06-30,1.06,-0.87,1.2,1.85,0.83,0.52,4.94
1986-07-31,-6.43,-3.53,4.66,-0.55,0.81,0.52,1.89
1986-08-31,6.07,-4.34,3.54,-1.71,3.32,0.46,-5.17
1986-09-30,-8.59,2.1,3.23,-0.17,3.71,0.45,-5.68
1986-10-31,4.64,-2.37,-1.42,-0.01,1.01,0.46,4.48
1986-11-30,1.16,-1.86,-0.02,0.98,0.7,0.39,-0.27
1986-12-31,-3.26,0.19,0.36,0.87,0.09,0.49,0.45
1987-01-31,12.44,-1.61,-3.18,0.17,-1.03,0.42,2.03
1987-02-28,4.37,3.36,-5.86,-0.79,-2.55,0.43,-2.22
1987-03-31,1.63,0.32,1.66,1.3,4.17,0.47,1.66
1987-04-30,-2.09,-1.58,-0.36,-0.52,1.16,0.44,0.2
1987-05-31,0.11,-0.58,0.22,0.49,1.13,0.38,-0.77
1987-06-30,3.91,-2.11,1.13,1.56,1.07,0.48,-0.22
1987-07-31,3.84,-1.07,0.94,-0.65,1.58,0.46,2.57
1987-08-31,3.52,-1.01,-0.98,2.11,-1.55,0.47,-0.95
1987-09-30,-2.58,0.45,0.26,-0.88,1.82,0.45,0.8
1987-10-31,-23.19,-7.91,4.18,2.29,2.24,0.6,-7.75
1987-11-30,-7.76,2.78,3.14,-1.93,0.6,0.35,-1.21
1987-12-31,6.82,-0.01,-4.42,3.13,-2.46,0.39,5.88
1988-01-31,4.21,-0.56,4.93,-1.19,2.1,0.29,-7.35
1988-02-29,4.77,3.3,-1.53,1.51,0.06,0.46,-1.45
1988-03-31,-2.26,6.11,0.86,-0.23,1.78,0.44,0.61
1988-04-30,0.56,1.09,1.51,-0.09,1.9,0.46,2.2
1988-05-31,-0.27,-2.52,2.44,-0.77,0.3,0.51,0.66
1988-06-30,4.78,2.07,-1.35,1.52,-3.52,0.49,-3.02
1988-07-31,-1.25,-0.18,2.18,-0.49,1.53,0.51,0.66
1988-08-31,-3.31,-0.02,2.14,-0.85,1.65,0.59,0.36
1988-09-30,3.31,-1.38,-0.75,1.76,-0.55,0.62,0.29
1988-10-31,1.16,-2.97,2.03,1.39,0.99,0.61,1.3
1988-11-30,-2.27,-1.58,1.47,-0.36,1.64,0.57,0.18
1988-12-31,1.48,1.94,-1.83,0.69,-0.38,0.63,0.31
1989-01-31,6.06,-2.26,0.61,-0.97,0.11,0.55,-0.25
1989-02-28,-2.23,2.7,0.99,-0.84,1.88,0.61,0.99
1989-03-31,1.57,0.68,0.47,-0.01,0.65,0.67,3.51
1989-04-30,4.35,-0.75,-1.48,0.73,-0.48,0.67,1.71
1989-05-31,3.28,-0.06,-0.9,0.45,-0.26,0.79,1.42
1989-06-30,-1.33,-1.04,2.21,0.13,1.52,0.71,0.4
1989-07-31,7.18,-4.11,-2.8,2.05,-0.56,0.7,5.32
1989-08-31,1.43,0.48,0.62,0.36,-0.61,0.74,-0.49
1989-09-30,-0.76,0.47,-1.27,1.39,0.58,0.65,3.51
1989-10-31,-3.65,-3.3,-1.16,0.08,-0.11,0.68,1.35
1989-11-30,1.04,-1.26,-1.13,-0.74,1.38,0.69,2.7
1989-12-31,1.18,-2.28,0.15,-0.07,1.31,0.61,2.79
1990-01-31,-7.8,-1.21,0.83,-1.12,1.4,0.57,-2.98
1990-02-28,1.11,1.15,0.65,-0.04,-0.61,0.57,-0.51
1990-03-31,1.83,1.59,-2.9,1.99,-0.94,0.64,1.72
1990-04-30,-3.36,-0.35,-2.57,1.78,-1.0,0.69,2.28
1990-05-31,8.44,-2.41,-3.89,1.68,-1.63,0.68,3.14
1990-06-30,-1.09,1.31,-2.0,-0.99,-0.39,0.63,2.49
1990-07-31,-1.9,-3.15,-0.06,-0.1,3.21,0.68,6.04
1990-08-31,-10.13,-3.79,1.56,-0.48,2.99,0.66,1.97
1990-09-30,-6.11,-3.72,0.59,0.03,3.62,0.6,5.71
1990-10-31,-1.91,-5.06,0.08,3.17,-0.25,0.68,6.74
1990-11-30,6.35,0.02,-2.97,0.58,-4.71,0.57,-5.36
1990-12-31,2.48,0.6,-1.57,2.66,-1.98,0.6,0.25
1991-01-31,4.69,3.87,-1.48,1.34,-4.07,0.52,-6.47
1991-02-28,7.21,4.02,-0.62,-0.06,-0.34,0.48,-4.94
1991-03-31,2.67,3.81,-1.3,-0.52,-0.99,0.44,2.71
1991-04-30,-0.29,0.35,1.49,0.67,0.81,0.53,-2.32
1991-05-31,3.66,0.14,-0.52,2.07,-2.36,0.47,-0.09
1991-06-30,-4.94,0.3,1.08,1.75,0.68,0.42,0.42
1991-07-31,4.24,-1.0,-1.3,1.6,-1.44,0.49,4.26
1991-08-31,2.32,1.42,-0.79,0.85,-0.32,0.46,1.58
1991-09-30,-1.59,1.58,-1.23,-1.77,-0.04,0.46,1.75
1991-10-31,1.29,0.85,-0.43,-1.65,-0.3,0.42,3.18
1991-11-30,-4.2,-0.88,-1.77,1.1,-0.12,0.39,1.18
1991-12-31,10.86,-2.41,-4.23,3.67,-3.14,0.38,8.29
1992-01-31,-0.59,9.19,4.67,-1.17,3.25,0.34,-2.5
1992-02-29,1.09,1.3,6.51,0.07,2.25,0.28,-0.7
1992-03-31,-2.66,-0.89,3.49,-0.06,1.82,0.34,-0.21
1992-04-30,1.09,-5.75,4.36,1.65,2.4,0.32,-2.55
1992-05-31,0.3,0.2,1.11,-0.91,0.49,0.28,0.06
1992-06-30,-2.33,-2.76,3.24,-0.06,0.95,0.32,-0.57
1992-07-31,3.78,-0.65,-0.51,1.24,-0.97,0.31,1.47
1992-08-31,-2.38,-0.39,-1.09,3.66,-1.64,0.26,-0.47
1992-09-30,1.19,0.47,-0.19,1.61,-0.68,0.26,1.44
1992-10-31,1.02,2.09,-1.98,1.19,-0.91,0.23,2.5
1992-11-30,4.14,3.88,-1.52,-0.54,-1.58,0.23,-0.25
1992-12-31,1.53,1.65,2.64,-0.52,0.83,0.28,4.33
1993-01-31,0.93,1.94,5.9,-1.9,2.94,0.23,4.85
1993-02-28,0.12,-3.37,6.48,-0.47,4.15,0.22,3.18
1993-03-31,2.32,0.09,1.26,-0.22,0.82,0.25,3.7
1993-04-30,-3.05,-0.81,2.55,-3.69,1.38,0.24,0.36
1993-05-31,2.89,1.94,-3.46,-0.14,-1.03,0.22,0.21
1993-06-30,0.3,0.12,2.64,-0.91,1.16,0.25,4.57
1993-07-31,-0.34,0.96,2.87,-1.84,2.05,0.24,3.22
1993-08-31,3.72,0.08,0.18,-1.52,0.04,0.25,2.54
1993-09-30,-0.12,3.02,-0.24,0.25,-0.19,0.26,3.39
1993-10-31,1.41,1.86,-2.78,0.61,0.56,0.22,-2.67
1993-11-30,-1.87,-1.31,-0.78,2.19,-1.03,0.25,-4.77
1993-12-31,1.65,1.35,0.25,1.14,-0.35,0.23,2.33
1994-01-31,2.87,-0.05,1.1,-1.54,1.39,0.25,0.11
1994-02-28,-2.55,2.62,-1.52,2.08,-0.94,0.21,-0.34
1994-03-31,-4.79,-1.03,1.67,0.65,1.39,0.27,-1.32
1994-04-30,0.68,-1.0,1.66,1.05,1.14,0.27,0.33
