,0.0,1.0,2.0,3.0
Mkt-RF,1.1557742520806578,1.0137929183082741,1.131121985240571,2.3273885384923823
SMB,0.6375845015735596,0.6083393267888123,0.5434743718100774,1.0146211919606267
HML,0.851351944711852,0.6059418440420286,0.536337071143685,1.7413508452264996
RMW,0.505352264482269,0.5116949900108848,0.44846549325116547,0.5621715740438181
CMA,0.46259831140020274,0.49371830095410396,0.32983803885981905,0.41207801655751564
Mom,1.0179726717330464,0.7863688434830386,0.7708671233649187,2.5513353306763102
