,F-statistic,p-value
Mkt-RF,11.905490873355905,8.894490310803353e-08
SMB,45.52589347046755,3.458890673458458e-29
HML,52.8213883346962,7.865419982818173e-34
RMW,16.970283266397413,5.482871269291114e-11
CMA,57.936403471252326,4.41122160699068e-37
Mom,71.8912620687482,6.240555561483627e-46
