,PC1,PC2,PC3,PC4,PC5
VIX,-0.17738886295164855,0.5358761929402283,-0.24445179713106635,0.44840030345402493,0.37794819247497174
2Y,0.45818105720828173,0.2805746580537263,0.1405743830106214,0.00847090408367418,0.053404383960957605
10Y,0.3707429475345674,0.3440263732309989,0.4308150533703871,-0.017367215428959203,0.07063948383665447
YieldCurve,-0.351235219013613,0.033261180140231425,0.5657882845147383,-0.05770603961086798,0.017095951200483312
CreditSpread,-0.4008505526318133,0.3043920676846873,-0.11539396059703988,0.20432569464249345,0.18551690334898518
FedFundsRate,0.45914768809579537,0.27013757886822803,0.026472779568531054,0.026666309249796766,0.04918995156931824
Inflation_YoY,0.14304154956865395,-0.33934285177784845,0.20741437874987262,0.8672946206840105,-0.2541444099555715
UnemploymentRate,-0.3075929015663984,0.1797552879164375,0.5710974365430695,-0.01925466607467303,-0.062410285153027566
GDP_YoY,0.10589973969788899,-0.44895404947759965,0.17769239679091092,0.014248568131710784,0.8623806177009997
