,F-statistic,p-value
Mkt-RF,3.7508119907133763,0.048612605395199196
SMB,1.821193545047753,0.20695853067945225
HML,3.2736922958697847,0.0672418802015674
RMW,2.1438149889469127,0.1581037019064283
CMA,14.799425160975105,0.0005228900820251392
Mom,1.310634699002847,0.32459035677565157
