,F-stat,p-value
Mkt-RF,3.0011857028329954,0.050790696356823914
SMB,0.18916951339813992,0.8277163421622655
HML,7.307201502718005,0.0007589914731770371
RMW,1.7938700122812063,0.16758117163493572
CMA,1.136677206037891,0.3218639098210505
Mom,6.088048754057437,0.002474115562290522
